紹介コード（お持ちの方）|||Referral code (if you have one)|||推荐码（如有）
お客様は、個人情報の保護に関する法律（個人情報保護法）に基づき、当サービスが保有するご自身の個人情報について、以下の請求を行うことができます。|||Under the Act on the Protection of Personal Information, you may make the following requests regarding your own personal information held by the Service.|||根据《个人信息保护法》，您可就本服务持有的您本人的个人信息提出以下请求。
ご注文を受け付けました。お支払い期限は|||We have received your order. Payment is due by|||订单已受理。付款期限为
（3日以内）です。期限内にお支払いをお願いいたします。入金確認後、注文確定メールをお送りいたします。期限を過ぎるとご注文は自動キャンセルとなります。|||(within 3 days). Please pay by then. Once payment is confirmed we will email your order confirmation. Orders past the deadline are cancelled automatically.|||（3天以内）。请在期限内付款。确认收款后我们将发送订单确认邮件。超过期限订单将自动取消。
← カテゴリに戻る|||← Back to categories|||← 返回分类
✉ スタッフに問い合わせる|||✉ Contact a staff member|||✉ 联系客服人员
（期限切れ）|||(expired)|||（已过期）
特典:|||Benefits:|||优惠：
送料はお届け先に応じて自動計算されます（商品合計¥10,000以上またはダイヤモンド会員で送料無料 ※初回50%OFF適用時は¥10,000以上送料無料の対象外 ※|||Shipping is calculated automatically from your delivery address (free on item totals of ¥10,000+ or for Diamond members. *The ¥10,000 free-shipping rule does not apply during the first-order 50% OFF. *|||运费将根据收货地址自动计算（商品合计满¥10,000或钻石会员免运费 ※首单5折期间不适用满¥10,000免运费 ※
｜ 古物商許可：大阪府公安委員会 第62228R076481号\n｜ インボイス登録番号：T9810785107076||| | Secondhand dealer licence: Osaka Prefectural Public Safety Commission No. 62228R076481\n | Invoice registration number: T9810785107076||| | 旧货商许可：大阪府公安委员会 第62228R076481号\n | 发票登记号：T9810785107076
【送料無料になる条件】\n\n① 商品合計¥10,000以上で送料無料！\n　→ デタウリ・アソート合算でOKです\n\n② ダイヤモンド会員のお客様は金額に関わらず送料無料（沖縄県含む）！\n　→ 年間購入額50万円以上で到達\n\n※初回50%OFFキャンペーン適用時は①の対象外です。②のダイヤモンド会員送料無料は適用されます。\n※沖縄県は①の対象外で、¥10,000以上でも送料別途かかります。②のダイヤモンド会員送料無料は適用されます。\n※アソートの「価格破壊商品」は①の対象外で、¥10,000以上でも送料別途かかります（商品カードに「送料別途」と表示）。②のダイヤモンド会員送料無料は適用されます。\n\n詳しくは「会員ランクについて」をご確認ください。|||[How to get free shipping]\n\n1. Item totals of ¥10,000 or more ship free!\n   → Detauri and Assort totals are combined\n\n2. Diamond members ship free regardless of amount (Okinawa included)!\n   → Reached at ¥500,000 in purchases per year\n\n*Rule 1 does not apply during the first-order 50% OFF campaign. Rule 2 (Diamond free shipping) still applies.\n*Okinawa is excluded from rule 1 and is charged shipping even above ¥10,000. Rule 2 still applies.\n*Assort "clearance items" are excluded from rule 1 and are charged shipping even above ¥10,000 (marked "shipping extra" on the item card). Rule 2 still applies.\n\nSee "About membership ranks" for details.|||【免运费的条件】\n\n① 商品合计满¥10,000免运费！\n　→ Detauri 与混装批发可合并计算\n\n② 钻石会员无论金额多少均免运费（含冲绳县）！\n　→ 年度购买金额50万日元以上即可达成\n\n*首单5折活动期间不适用①。②的钻石会员免运费仍然适用。\n*冲绳县不适用①，即使满¥10,000仍需另付运费。②的钻石会员免运费仍然适用。\n*混装批发的「破价商品」不适用①，即使满¥10,000仍需另付运费（商品卡上标示「运费另计」）。②的钻石会员免运费仍然适用。\n\n详情请参阅「关于会员等级」。
